artist_name,track_name,popularity,year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration,loudness_transform
Misael Morato,3000 Years,0,2000,0.794,0.663,11,-8.579,1,0.0752,0.0413,0.91,0.109,0.676,125.993,4,6.158733333333333,-2.417073819478744
*NSYNC,It's Gonna Be Me,60,2000,0.644,0.874,0,-4.666,0,0.0801,0.0459,2.24e-06,0.0584,0.882,165.09,4,3.184,-1.9878743481543455
Syer B,Year 3000,0,2000,0.793,0.738,9,-6.535,1,0.307,0.0208,0.0395,0.143,0.156,139.88,4,3.2285666666666666,-2.215828229067764
Limp Bizkit,My Generation,66,2000,0.458,0.978,11,-2.389,1,0.191,0.00231,2.12e-06,0.111,0.342,104.012,4,3.683333333333333,-1.6140273647679075
Busted,Year 3000,0,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Vanessa Amorosi,Shine,48,2000,0.488,0.721,4,-6.62,1,0.036,0.63,2.87e-05,0.333,0.715,181.844,4,3.9122166666666667,-2.225055890484808
Sarah Kellysen,Year 3000,0,2000,0.65,0.711,10,-11.984,0,0.0651,0.000127,0.395,0.0918,0.581,122.029,4,3.4833166666666666,-2.6822536460582
Christine Anu,Sunshine on a Rainy Day,47,2000,0.618,0.674,7,-8.823,1,0.0328,0.0548,3.11e-05,0.151,0.52,96.994,4,3.7771166666666667,-2.4386008969114887
Busted,Year 3000,0,2000,0.57,0.77,11,-8.431,1,0.0471,0.0006,0.0,0.0831,0.832,107.013,4,3.2731166666666667,-2.403786973503013
Kylie Minogue,On a Night like This,47,2000,0.59,0.856,0,-7.061,0,0.0283,0.00399,0.268,0.342,0.539,129.955,4,3.5533333333333332,-2.2716102886946152
Busted,Year 3000,0,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
Killing Heidi,Mascara,47,2000,0.414,0.899,2,-4.489,1,0.0406,0.019,0.0,0.372,0.637,133.917,4,4.849333333333333,-1.9633289849962168
Von Hohenheim,3000 years,1,2000,0.271,0.304,7,-22.794,0,0.0569,0.816,0.836,0.0986,0.149,67.981,4,3.2033833333333335,-3.235850929074162
Travis Tritt,It's A Great Day To Be Alive,71,2000,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,4,4.02555,-2.02406095832703
Busted,Year 3000,1,2000,0.595,0.85,11,-6.647,1,0.0367,0.000213,0.0,0.0961,0.894,107.025,4,3.27,-2.227969299613256
